Date,Total,Real?,oik,oik-nivo-slider,oik-privacy-policy,cookie-cat,bbboing,uk-tides,oik-css,oik-batchmove,oik-read-more,oik-weightcountry-shipping,oik-bwtrace,allow-reinstalls,oik-weight-zone-shipping,sb-children-block,sb-chart-block
2011-02-05,0,real,0,,,
2011-11-20,500,real,500,,,
2011-12-25,651,real,651,,,
2012-01-15,779,real,779,,,
2012-02-05,838,real,838,,,
2012-02-12,885,real,885,,,
2012-02-19,915,real,915,,,
2012-02-26,934,real,934,,,
2012-03-04,948,real,948,,,
2012-03-18,963,real,963,,,
2012-04-01,999,real,999,,,
2012-04-15,1462,real,1102,296,,,38,26,,,,,,,,,
2012-04-22,3119,real,1455,1664,,
2012-04-29,3804,real,1582,2222,,
2012-05-10,6907,real,2684,4223,,
2012-05-16,9057,real,3390,5257,290,,57,63,,,,,,,,,
2012-05-22,11337,real,4162,6326,622,102,59,66,,,,,,,,,
2012-05-27,13425,real,4875,7050,1018,348,61,73,,,,,,,,,
2012-05-28,13904,real,5049,7188,1112,420,61,74,,,,,,,,,
2012-05-29,14544,real,5270,7422,1229,486,62,75,,,,,,,,,
2012-05-30,15008,real,5437,7609,1301,524,62,75,,,,,,,,,
2012-06-01,15694,real,5670,7886,1403,596,62,77,,,,,,,,,
2012-06-03,16166,real,5833,8081,1490,621,63,78,,,,,,,,,
2012-06-05,16992,real,6127,8424,1626,670,63,82,,,,,,,,,
2012-06-07,17756,real,6382,8729,1764,732,64,85,,,,,,,,,
2012-06-09,18400,real,6612,8980,1872,784,66,86,,,,,,,,,
2012-06-11,19075,real,6823,9209,1984,905,67,87,,,,,,,,,
2012-06-12,19471,real,6947,9365,2042,959,68,90,,,,,,,,,
2012-06-13,19897,real,7079,9543,2115,1000,68,92,,,,,,,,,
2012-06-14,20151,real,7156,9664,2142,1024,69,96,,,,,,,,,
2012-06-16,20942,real,7425,9996,2259,1094,70,98,,,,,,,,,
2012-06-17,21113,real,7487,10057,2297,1103,71,98,,,,,,,,,
2012-07-02,26110,real,9151,12214,3171,1389,76,109,,,,,,,,,
2012-07-03,26486,real,9339,12373,3193,1395,77,109,,,,,,,,,
2012-07-04,27186,real,9685,12639,3264,1411,77,110,,,,,,,,,
2012-07-05,27729,real,9942,12847,3328,1425,77,110,,,,,,,,,
2012-07-06,28118,real,10165,12955,3374,1433,79,112,,,,,,,,,
2012-07-09,29010,real,10598,13249,3519,1451,80,113,,,,,,,,,
2012-07-11,30204,real,11086,13789,3650,1486,80,113,,,,,,,,,
2012-07-12,30634,real,11267,13957,3720,1497,80,113,,,,,,,,,
2012-07-19,33196,real,12315,14928,4147,1605,81,120,,,,,,,,,
2012-07-20,33637,real,12497,15104,4213,1620,82,121,,,,,,,,,
2012-07-26,35580,real,13270,15871,4563,1672,82,122,,,,,,,,,
