,Total,oik,oik dependents,Oik-nivo-slider,Oik-privacy-policy,Cookie-cat,bbboing,Uk-tides,Oik-css,Oik-batchmove,Oik-read-more,Oik-weightcountry-shipping,Oik-bwtrace,Allow-reinstalls,Oik-weight-zone-shipping,Sb-children-block,Increase,Increase,Ratio,,,,,,,,,,
5 Feb 11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Nov 11,500,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Dec 11,651,651,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Jan 12,779,779,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Feb 12,838,838,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Feb 12,885,885,0,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Feb 12,915,915,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Feb 12,934,934,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Mar 12,948,948,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Mar 12,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Mar 12,963,963,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Mar 12,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Apr 12,999,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Apr 12,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
15 Apr 12,1462,1102,360,296,,,38,26,,,,,,,,,,,,,,ons v1.0,,,,,,,
22 Apr 12,3119,1455,1664,1664,,,,,,,,,,,,,353,1304,3.6940509915,,,,,,,,,,
29 Apr 12,3804,1582,2222,2222,,,,,,,,,,,,,127,558,4.3937007874,,oik v1.12,ons v1.2,,,,,,,
10 May 12,6907,2684,4223,4223,,,,,,,,,,,,,1102,2001,1.8157894737,,,,,,,,,,
16 May 12,9057,3390,5667,5257,290,,57,63,,,,,,,,,706,1444,2.045325779,,oik v1.13,ons v1.3 12 May,opp v1.0,C-c v1.0 17 May,,,,,
22 May 12,11337,4162,7175,6326,622,102,59,66,,,,,,,,,772,1508,1.9533678756,,,,,,,,,,
27 May 12,13425,4875,8550,7050,1018,348,61,73,,,,,,,,,713,1375,1.9284712482,,,,,,,,,,
28 May 12,13904,5049,8855,7188,1112,420,61,74,,,,,,,,,174,305,1.7528735632,,,,,,,,,,
29 May 12,14544,5270,9274,7422,1229,486,62,75,,,,,,,,,221,419,1.8959276018,,,,,,,,,,
30 May 12,15008,5437,9571,7609,1301,524,62,75,,,,,,,,,167,297,1.7784431138,,,,,,,,,,
1 Jun 12,15694,5670,10024,7886,1403,596,62,77,,,,,,,,,233,453,1.9442060086,,,,,,,,,,
3 Jun 12,16166,5833,10333,8081,1490,621,63,78,,,,,,,,,163,309,1.8957055215,,,,,,,,,,
5 Jun 12,16992,6127,10865,8424,1626,670,63,82,,,,,,,,,294,532,1.8095238095,,,,,,,,,,
7 Jun 12,17756,6382,11374,8729,1764,732,64,85,,,,,,,,,549,1041,1.8961748634,,,,,,,,,,
9 Jun 12,18400,6612,11788,8980,1872,784,66,86,,,,,,,,,230,414,1.8,,cc v1.1,,,C-c 1.1 782,,,,,
11 Jun 12,19075,6823,12252,9209,1984,905,67,87,,,,,,,,,211,464,2.1990521327,,,,,,,,,,
12 Jun 12,19471,6947,12524,9365,2042,959,68,90,,,,,,,,,124,272,2.1935483871,,,,,,,,,,
13 Jun 12,19897,7079,12818,9543,2115,1000,68,92,,,,,,,,,132,294,2.2272727273,,,,,,,,,,
14 Jun 12,20151,7156,12995,9664,2142,1024,69,96,,,,,,,,,77,177,2.2987012987,,,,,,,,,,
16 Jun 12,20942,7425,13517,9996,2259,1094,70,98,,,,,,,,,269,522,1.9405204461,,,,,,,,,,
